id,accession date,credit line,display dimensions,coordinates,public display,district,location,description,source,medium,descriptive medium,artist,title
457,2000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,16' H X 24' W,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Gate G93",San Francisco Arts Commission,"copper, steel",copper and powder-coated steel.,"Garza, Carmen Lomas",Baile!
458,2000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"19' di X 14' 5 D dome; 16' di floor; 612' 2"" sections tile 42 1/2"" L X 30.9"" H","37.615223,-122.389979",Airport,outside city,International Terminal,"Concourse A, Arrivals Corridor",San Francisco Arts Commission,fiberglass,cast fiberglass,"Preston, Anne",You Were in Heaven
459,2000,Commissioned for the Tenderloin Police Station,"24' 4"" X 8' 2"" overall","37.7837739,-122.4129435",City Department,District 6,Tenderloin Police Station,Jones St. Facade,San Francisco Arts Commission,ceramic tile,hand cut ceramic tiles,"Barth, Anders",First Person Plural
460,2000,Commissioned for San Francisco International Airport,,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Gate 97",San Francisco Arts Commission,"fresco buono, wood relief",fresco buono and wood relief,Alicia Montoya; Juana Emmanuel,Sanctuario
461,2000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,"plaques are 12"" diameter; floor is 12, 000 sq feet","37.615223,-122.389979",Airport,outside city,International Terminal,Arrivals,San Francisco Arts Commission,"bronze, terrazzo, brass","bronze, terrazzo, brass","deSoto, Lewis",On The Air
462,2000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco.,204 in. x 300 in.,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area G, Gate G102",San Francisco Arts Commission,ceramic tile,ceramic tile,"Garcia, Rupert",Bird Technology
463,2000,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,,"37.615223,-122.389979",Airport,outside city,International Terminal,Immigration Area,San Francisco Arts Commission,glass,cast glass,"Hung, Su-Chen",Welcome
464,2000,Commissioned for the Roald Amundsen Monument,,"37.7704354,-122.5108707",Public Display,District 1,Golden Gate Park,"JFK, at Great Highway",San Francisco Arts Commission,bronze,bronze,"Kricken, John and Rolph",Amundsen Historical Plaque
465,2000,Commissioned for art enrichment of Jose Coronado Playground Recreation Center,varies,"37.7567494,-122.4236112",Public Display,District 10,Jose Coronado Playground,Folsom and 21st St.,San Francisco Arts Commission, terracotta tile,glazed terracotta tile,"Patlan, Eduardo and Pineda, Ray",Raizes/Roots
466,2000,Commissioned by the SFAC for art enrichment for the Oceanview Library.,,"37.7213122,-122.4799043",Library,District 11,San Fransisco Public Library,"Oceanview, 345 Randolph St",San Francisco Arts Commission,concrete,cast concrete,Crutcher; Roller,Art Panel
467,2000,Commissioned by the Public Art Program for art enrichment of the Oceanview Library,108 in. x 108 in.,"37.7142194,-122.4659468",Library,District 11,San Fransisco Public Library,"Oceanview, 345 Randolph St",San Francisco Arts Commission,concrete,cast concrete,Crutcher; Roller,Art Panels
468,2000,Commissioned by the SFAC for art enrichment for the Oceanview Library.,,"37.7213122,-122.4799043",Library,District 11,San Fransisco Public Library,"Oceanview, 345 Randolph St",San Francisco Arts Commission,concrete,cast concrete,Crutcher; Roller,Art Panel
469,2000,Commissioned by the San Francisco Arts Commission for San Francisco International Airport; Collection of the City and County of San Francisco.,"60' L X 10' W overall; each square 3"" X 3""","37.615223,-122.389979",Airport,outside city,International Terminal,Departures,San Francisco Arts Commission,"oil, acrylic, wood, ceramic, glass, found objects","oil, acrylic, wood, ceramic, cast glass, found objects.","Kang, Ik-Joong",Gateway
470,2001,Collection of the City and County of San Francisco. Purchased for the Moscone Center,"120"" H X 144"" W X 216"" D","37.801262,-122.433021",Public Display,District 6,Moscone Center,4th and Howard,San Francisco Arts Commission,steel,painted steel,"Haring, Keith",Untitled (Three Dancing Figures)
471,2001,Commissioned by the Public Art Program for MUNI,636 in. x 60 in.,"37.7554415,-122.4187616",Public Display,District 9,Mission Street,"at 22nd St., NE and SW Corners",San Francisco Arts Commission,glass,glass,"Mangrum, Joe",Layla
472,2001,Commissioned by the Public Art Program for MUNI,,"37.7554415,-122.4187616",Public Display,District 9,Mission Street,"at 22nd St., NE and SW Corners",San Francisco Arts Commission,glass,glass,"Mangrum, Joe",Swing Daddy
473,2001,,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,"bronze, granite",bronze and granite,"Cronin, Don",Bust of Michael M. O'Shaugnessy
474,2001,Collection of the City and County of San Francisco,overall: 1' X 86',"37.782707, -122.415935",Public Display,District 6, Tenderloin Children's Playground,Turk and Hyde,San Francisco Arts Commission,mosaic tile,mosaic tile,"O'Day, Ruth",Guardian Serpent
475,2001,Commissioned for the San Francisco International Airport; Collection of the City and County of San Francisco,160' X 25' each (X4),"37.615223,-122.389979",Airport,outside city,International Terminal,Lobby Skylights,San Francisco Arts Commission,"polycarbonate, glass, steel, anodized aluminum","polycarbonate, glass, steel and anodized aluminum","Carpenter, James",Sculptural Light Reflectors
476,2001,Collection of the City and County of San Francisco,16 in. x 25 in.,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area A, Gate A2",San Francisco Arts Commission,"brass, steel",saxophones made of brass and steel music panels,"Howard, Mildred",Salt Peanuts
477,2001,,,"37.78327,-122.477977",Public Display,District 1,Richmond Rec Center,,San Francisco Arts Commission,,,"Alavi, Seyed",Speaking Stones
478,2001,,,"37.756677,-122.393207",City Department,District 10,Muni Structures Facility,700 Pennsylvania Ave.,San Francisco Arts Commission,"graphite, steel, glass, custom paint","graphite, stainless steel, glass, custom paint","Catalusci, Robert",Untitled
479,2001,Collection of the City and County of San Francisco,overall: 5' X 65'; floWer section: 5' X 12'; tree section: 5' X 8'; midsection:,"37.770841,-122.420664",Public Display,District 6,San Francisco Department of Human Services,,San Francisco Arts Commission,ceramic tile,solid-color unglazed and hand-painted ceramic tile,Precitia Eyes muralists,The Flower Inside Us Grows
480,2002,Commissione San Francisco International Airport bythe San Francisco Arts Commission Public Art Progr,,"37.615223,-122.389979",Airport,outside city,"Concourse H, BART",,San Francisco Arts Commission,steel,"200,000 stainless steel discs, mounted","Kahn, Ned",Wind Portal
481,2002,Commissioned for the North Beach Parking Garage,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
482,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
483,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
484,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
485,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
486,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
487,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
488,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
489,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
490,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
491,2002,,,"37.7984339,-122.4094682",,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
492,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Fletcher, Harrell and Rubin, John","Photos of People from the Neighborhood Enlarged and Attached to the Building, an"
493,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,paint,paint,"Fletcher, Harrell and Rubin, John","Photos of People From the Neighborhood Enlarged and Attached to the Building, an"
494,2002,,,"37.7984339,-122.4094682",Public Display,District 3,North Beach Parking Garage,735 Vallejo,San Francisco Arts Commission,paint,paint stencil,"Fletcher, Harrell and Rubin, John","""Stenciled Fortunes"" within ""Photos of People from the Neighborhood enlarged and"
495,2002,Commissioned for the MLK Pool,,"37.725420, -122.393632",Public Display,District 10,MLK Pool,,San Francisco Arts Commission,ceramic tile,glazed ceramic tiles,Joesam.,Wade in Water
496,2002,Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"37.7336173,-122.5049211",Public Display,District 4,San Fransisco Zoo,main entrance,San Francisco Arts Commission,bronze sculpture,cast bronze sculpture,"Murrill, Gwyn",Cougar III
497,2002,Purchased for the San Francisco Zoo by the San Francisco Arts Commission,,"37.7336173,-122.5049211",Public Display,District 4,San Fransisco Zoo,main entrance,San Francisco Arts Commission,bronze,cast bronze,"Murrill, Gwyn",Tiger II
498,2002,Commission for the San Francisco International Airport by the San Francisco Arts Commission,,"37.615223,-122.389979",Airport,outside city,International Terminal,transfer corridor,San Francisco Arts Commission,mixed medium,mixed medium,"Acconci, Vito",Light Beams for the Sky of Transfer Cooridor
499,2002,Gift to the city from the Friends of Moscone Park and Recreation Center,,"37.80136,-122.433025",Public Display,District 2,Moscone Park,,San Francisco Arts Commission,bronze,bronze,"Beery, Jonathan",Leatherback Sea Turtle
500,2002,Gift to the City from the Friends of Moscone Park and Recreation Center,,"37.80136,-122.433025",Public Display,District 2,Moscone Park,,San Francisco Arts Commission,bronze,bronze,"Beery, Jonathan",The Pink Short-spined Starfish
501,2003,Commissioned by the San Francisco Arts Commission,,"37.7880556,-122.4075",Public Display,District 3,Union Square,,San Francisco Arts Commission,"granite, steel, glass, aluminum","granite, stainless steel, glass, aluminum","Fischer, R. M.",Union Square Colomnade
502,2003,Commissioned by the San Francisco Arts Commission for the San Francisco Zoo,,"37.7336173,-122.5049211",Public Display,District 4,San Fransisco Zoo,,San Francisco Arts Commission,"bronze,concrete,glass,plants,plastic,porcelain enamel","bronze,concrete,glass,plants,plastic,porcelain enamel",Fine and McCarren,Split Mound
503,2003,San Francisco Arts Commission,,"37.615223,-122.389979",Airport,outside city,Terminal 1,Boarding Area C,San Francisco Arts Commission,"bronze, patina, sticks, branches",bronze with patina (cast over sticks and branches),"Butterfield, Deborah",Pohina
504,2003,,,"37.7948985,-122.3945938",Public Display,District 3,Embarcadero,Justin Herman Plaza,San Francisco Arts Commission,,,"Arneson, Robert",Yin Yang
505,2003,,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,,,"MacDonald, Robert",Willie L Brown Bust
506,2004,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,30 in. x 30 in. x 30 in.,"37.615223,-122.389979",Airport,outside city,International Terminal,Departures,San Francisco Arts Commission,mixed media,mixed media,"Klotz, Werner",Anemone
507,2004,Commissioned by the San Francisco Arts Commission,,"37.748894, -122.405318",Public Display,District 9,District 9,Adjacent to C. Chavez bicycle overpass,San Francisco Arts Commission,"steel, metal","steel rod, perforated metal galvinized, w/aero plate, bronzing powder","Ozan, Pepe",Invocation
508,2004,,,"37.7419071,-122.4650348",Public Display,District 7,West Portal Clubhouse,exterior,San Francisco Arts Commission,ceramic tile,ceramic tile,"Barr, Aileen",Secret Garden
509,2004,,,"37.7419071,-122.4650348",Public Display,District 7,West Portal Clubhouse,exterior,San Francisco Arts Commission,ceramic tile,hand-carved and glazed ceramic tiles,"Barr, Aileen",Secret Garden
510,2004,,,"37.7419071,-122.4650348",Public Display,District 7,West Portal Clubhouse,exterior,San Francisco Arts Commission,ceramic tile,ceramic tile,"Barr, Aileen",Secret Garden
511,2004,,,"37.7419071,-122.4650348",Public Display,District 7,West Portal Clubhouse,exterior,San Francisco Arts Commission,ceramic tile,ceramic tile,"Barr, Aileen",Secret Garden
512,2005,,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,,San Francisco Arts Commission,,,"Oropallo, Deborah",Love + Marriage
513,2005,,,"37.754293, -122.413366",Public Display,District 9,Parque Ninos Unidos,23rd and Treat,San Francisco Arts Commission,,,"Rodriguez, Isis",Los Ninos del Sol
514,2005,,,"37.8024531,-122.4122163",Public Display,District 3,North Beach Pool,,San Francisco Arts Commission,,,"Saulls, Vicki",Nuotatori
515,2005,,,"37.8024531,-122.4122163",Public Display,District 3,North Beach Pool,,San Francisco Arts Commission,,,"Saulls, Vicki",Locus
516,2005,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission for the San Francisco Public Library.,,"37.7142194,-122.4659468",Library,District 6,San Fransisco Public Library,"Oceanview, 345 Randolph St",San Francisco Arts Commission,"acrylic paint, ceramic tile, linoleum, polystyrene","acrylic paint, glazed ceramic tile, linoleum and polystyrene","Wehrle, John",Words Fly Away
517,2005,,,"37.763376,-122.420433",Public Display,District 9,Hoff Street Playground,,San Francisco Arts Commission,,,"Blackstone, Amy",Untitled
518,2005,,,"37.795910, -122.420280",Public Display,District 3,Helen Wills Playground,,San Francisco Arts Commission,,,"Blackstone, Amy","Earth, Fire, and Water"
519,2005,,,"37.615223,-122.389979",Airport,outside city,Terminal 1,"Gate 43, Boarding Area C",San Francisco Arts Commission,,,"Stutz, Michael",Cardboard Kore
520,2005,,,"37.7618763,-122.4737841",Public Display,District 4,16th Avenue,,San Francisco Arts Commission,,,"Crutcher, Colette and Barr, Aileen",16th Avenue Tiled Steps Project
521,2006,,48 in. x 50 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"L1, Link Building",San Francisco Arts Commission,fabric collage,fabric collage,"Serlin, Merle Axelrad",Marin Headlands
522,2006,,43 in. x 50 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"L1, Link Building",San Francisco Arts Commission,"fabric collage, canvas",fabric collage on canvas backing,"Serlin, Merle Axelrad",Cliffs at Land's End
523,2006,,43 in. x 50 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"L1, Link Building",San Francisco Arts Commission,"fabric collage, canvas",fabric collage with canvas backing,"Serlin, Merle Axelrad",Bay Area Foothills
524,2006,,15 3/4 in. x 15 3/4 in. x 1 1/2 in.,"37.7598405,-122.4365358",Public Display,District 8,Eureka Valley Recreation Center,,San Francisco Arts Commission,concrete,cast concrete,"Saulls, Vicki Ann",Welcome Hands
525,2006,,30 in. x 120 in. x 4 in.,"37.7598405,-122.4365358",Public Display,District 8,Eureka Valley Recreation Center,,San Francisco Arts Commission,"bronze, aluminum",cold-cast bronze and aluminum,"Saulls, Vicki Ann",From the Heart Outwards
526,2006,,60 in. x 480 in.,"37.775209,-122.393081",Library,District 10,Mission Bay Library,960 4th Street,San Francisco Arts Commission,mixed media,mixed media,"Koloski, Vince",A Library Book
527,2006,,variable,"37.615223,-122.389979",Airport,outside city,International Terminal,"Boarding Area A, Boarding Area G",San Francisco Arts Commission,mixed media,mixed media,"deSoto, Lewis","Shining Paths,San Francisco Sister Cities"
528,2007,,72 in. x 72 in.,"37.7770166,-122.4059601",Public Display,District 6,Victoria Manalo Park,South of Market,San Francisco Arts Commission,steel,stainless steel,"Pijoan, Irene",Untitled
529,2007,,,"37.779412, -122.477447",Public Display,District 1,Argone Playground,18th Ave. and Anza,San Francisco Arts Commission,aluminum,aluminum,"Hsu, Joyce",Incomplete Metamorphosis
530,2007,Collection of the City and County of San Francisco. Commissioned by the San Francisco Arts Commission and the Airport Commission for San Francisco International Airport,63 in. x 21 in. x 16 in.,"37.615223,-122.389979",Airport,outside city,Terminal 1,Boarding Area C,San Francisco Arts Commission,porcelain,porcelain,"Shaw, Richard",Martha H.
531,2008,,,"37.737665, -122.475970",Public Display,District 4,Sava Pool,19th Avenue and Ulloa,San Francisco Arts Commission,porcelain enamel,porcelain enamel,"Wagner, Catherine",Swimmer's Waves
532,2008,,,"37.727049, -122.406417",Library,District 10,Portola Branch Library,Bacon and Goettengen Street,San Francisco Arts Commission,"glass, steel",glass and stainless steel,"Zed, Dana",California Wildflowers
533,2008,,,"37.7240936,-122.4573634",Public Display,District 10,Ocean and Granada Avenues,,San Francisco Arts Commission, ceramic tile,glazed ceramic tile,"True, Laurel",Sun Spheres
534,2008,,,"37.7336841,-122.4479623",Public Display,District 8,Sunnyside Playground,,San Francisco Arts Commission,steel,painted stainless steel,"Kennedy, Deborah",Solar Sight
535,2008,"Collection of the City and County of San Francisco
Commissioned for the San Francisco Municipal Transportation Authority by the San Franciso Arts Commission",432 in. x 228 in.,"37.7749295,-122.4194155",Public Display,District 10,Metro East Vehicles Operation and Maintenance Fac,,San Francisco Arts Commission,laminated glass,laminated glass,"Margrill, Anita and Nagasawa, Nobuho",Blueprints
536,2008,Gift of the Abraham Lincoln Brigade Archives (ALBA) to the City and County of San Francisco,114 in. x 468 in. x 24 in.,"37.7948985,-122.3945938",Public Display,District 3,Embarcadero,Justin Herman Plaza,San Francisco Arts Commission,,,"Chamberlain, Ann and Ho0d, Walter",Abraham Lincoln Brigade National Monument
537,2008,,,"37.615223,-122.389979",Airport,outside city,International Terminal,Gate A3,San Francisco Arts Commission,"aluminum, steel",anodized aluminum and stainless steel,"Hsu, Joyce",Namoo House
538,2008,,,"37.615223,-122.389979",Airport,outside city,International Terminal,Gate A5,San Francisco Arts Commission,"oil, pigmented ink, gesso",oil and pigmented ink with gesso,"Liu, Hung",Take Off
539,2008,Gift to the City of San Francisco from the Harvey Milk City Hall Memorial Committee,,"37.7793133,-122.4184094",Public Display,District 6,City Hall,Supervisor's Rotunda,San Francisco Arts Commission,"bronze, marble, gold leaf",bronze and marble with gold leaf,"Daub, Firmin, Hendrickson Sculpture Group",Harvey Milk Commemorative Bust
540,2008,,,"37.725042, -122.474158",Public Display,District 7,Junipero Serra Playground,Recreation Center,San Francisco Arts Commission, ceramic tile,glazed ceramic tile,"Finneran, Bean",Untitled
541,2008,,,"37.749566, -122.406102",Public Display,District 9,Rolph Playground,Exterior entryway gate,San Francisco Arts Commission,,,"Rodriguez, Isis",Untitled Rolph Playground]
542,2008,,,"37.750630, -122.404670",Public Display,District 10,Potrero Del Sol Park,Exterior entryway gate,San Francisco Arts Commission,,,"Rodriguez, Isis",Untitled Potrero Del Sol Park]
543,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 116 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Historic Lobby,San Francisco Arts Commission,tapestry,tapestry,"deSoto, Lewis",1908: The Construction of Clarendon Hall
544,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Historic Lobby,San Francisco Arts Commission,tapestry,tapestry,"deSoto, Lewis",1929-1941: Patient Care During the Great Depression
545,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 1/2 in. x 119 1/2 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Historic Lobby,San Francisco Arts Commission,tapestry,tapestry,"deSoto, Lewis",1947-1954: University of California . . .
546,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission,80 in. x 120 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Historic Lobby,San Francisco Arts Commission,tapestry,tapestry,"deSoto, Lewis",1949-1958: Community Activities at Laguna Honda
547,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 in. x 40 in. x 3/4 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Southeast Wall",San Francisco Arts Commission,glass tile mosaic,glass tile mosaic,"Hall, Diane Andrews",Goldfinch 5
548,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,40 5/16 in. x 39 7/8 in. x 3/4 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Northwest Wall",San Francisco Arts Commission,glass tile mosaic,glass tile mosaic,"Hall, Diane Andrews",Goldfinch with Zinnia 2
549,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,39 3/4 in. x 40 in. x 3/4 in.,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, Southwest Wall",San Francisco Arts Commission,glass tile mosaic,glass tile mosaic,"Hall, Diane Andrews",Hermit Thrush 2
550,2009,Collection of the City and County of San Francisco. Commissioned for Laguna Honda Hospital and Rehabilitation Center by the San Francisco Arts Commission.,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L1, East Wall",San Francisco Arts Commission,glass tile mosaic,glass tile mosaic,"Hall, Diane Andrews",Morning Light 2
551,2009,Collection of the City and County of San Francisco. Commissioned for the Ingleside Branch Library by the San Francisco Arts Commission.,48 in. x 336 in.,"37.724042, -122.456276",Library,District 7,Ingleside Branch Library,Ocean Avenue at Plymout,San Francisco Arts Commission,steel,steel,"Powell, Eric",Ocean Current
552,2009,,,"37.7978885,-122.4067221",Public Display,District 3,Broadway and Columbus,,San Francisco Arts Commission,,,"Goggin, Brian and Keehn, Dorka",Language of the Birds
553,2009,,,"37.773632, -122.424115",Public Display,District 5,Octavia Blvd.,between Market Street and Hayes Gree,San Francisco Arts Commission,"steel, mirrored lenses",stainless steel and mirroed lenses,Po Shu Wang,"Ghinlon, Transcope"
554,2009,,,"37.801262,-122.433021",Public Display,District 2,Moscone Recreation Center,,San Francisco Arts Commission,"steel, concrete",stainless steel and concrete,"Roberts, Kent",Passage
555,2009,,,"37.7176346,-122.4195296",Public Display,District 10,McLaren Park,,San Francisco Arts Commission,granite,granite,"Richards, Peter and Schwartzenberg, Susan",Philosopher's Walk
556,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Courtyard F,San Francisco Arts Commission,"basalt, water, pebbles","basalt, water and black pebbles","Biaggi, Suzanne",Patterns of Time and Place stone sculpture]
557,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,Courtyard B,San Francisco Arts Commission,lathe turned granite,lathe turned granite,"Bonner, Jonathan",Bloom
558,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
559,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
560,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
561,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
562,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
563,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
564,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
565,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
566,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
567,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
568,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
569,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
570,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
571,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"North Residence, L3",San Francisco Arts Commission,"glass, steel, light","glass, stainless steel and light","Brothers, Beliz",Untitled light boxes and glass panels]
572,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6",San Francisco Arts Commission,mixed media,mixed media,"Chamberlain, Ann and Lubell, Bernie",Water
573,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6, North Residence",San Francisco Arts Commission,,,"Chamberlain, Ann and Lubell, Bernie","Earth, Air, Fire, Water"
574,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6",San Francisco Arts Commission,mixed media,mixed media,"Chamberlain, Ann and Lubell, Bernie",Fire
575,2009,,,"37.7478586,-122.4556651",City Department,District 7,Laguna Honda Hospital,"South Residence, L6",San Francisco Arts Commission,mixed media,mixed media,"Chamberlain, Ann and Lubell, Bernie",Untitled
